violation,count
SPCC - Section 27-72 (f) - Overgrowth,14585
SPCC - Section 27-72 (e) -Trash & Debris,9607
2020 PMCNYS - Section 305.3 - interior surfaces,8813
SPCC-Sec. 27-133 Registration,7871
SPCC 27-43 (e) (1)(2)(3)(4) Certification,5019
2020 PMCNYS - Section 504.1 - General,3333
"2020 PMCNYS - Section 304.13 - Window, skylight, and door frames",3268
2020 PMCNYS  - Section 605.1 - Installation ,2840
2020 PMCNYS - Section 603.1 - Mechanical equipment and appliances,2369
2020 PMCNYS - Section 309.1 - Infestation,2349
